,race_id,venue,race_no,config,surface,distance,going,prize,race_class,place_combination1,place_combination2
4163,4163,0,8,0,1,1200,1,1400000,2,7,4
4164,4164,0,9,5,0,1400,1,1000000,3,7,8
4165,4165,0,10,5,0,1600,1,1000000,3,6,12
4166,4166,1,1,2,0,1000,1,550000,5,11,9
4167,4167,1,2,2,0,1200,1,725000,4,3,10
4168,4168,1,3,2,0,1200,1,725000,4,2,4
4169,4169,1,4,2,0,1650,1,725000,4,4,12
4170,4170,1,5,2,0,1650,1,725000,4,11,6
4171,4171,1,6,2,0,1000,1,1000000,3,1,12
4172,4172,1,7,2,0,1200,1,1000000,3,2,1
4173,4173,1,8,2,0,1650,1,1000000,3,1,4
4174,4174,0,1,0,0,1400,1,550000,5,4,10
4175,4175,0,2,0,0,1200,1,725000,4,4,11
4176,4176,0,3,0,0,1400,1,725000,4,7,5
4177,4177,0,4,0,0,1800,1,725000,4,2,9
4178,4178,0,5,0,0,1200,1,1000000,3,1,13
4179,4179,0,6,0,0,1600,1,1000000,3,12,10
4180,4180,0,7,0,0,1200,1,6000000,11,1,3
4181,4181,0,8,0,0,1800,1,6000000,11,3,2
4182,4182,0,9,0,0,1600,1,1400000,2,11,13
4183,4183,0,10,0,0,1400,1,1000000,3,5,6
4184,4184,1,1,4,0,1200,1,550000,5,7,11
4185,4185,1,2,4,0,1800,1,550000,5,5,9
4186,4186,1,3,4,0,1000,1,725000,4,5,3
4187,4187,1,4,4,0,1200,1,725000,4,5,7
4188,4188,1,5,4,0,1650,1,725000,4,10,11
4189,4189,1,6,4,0,1200,1,1000000,3,7,11
4190,4190,1,7,4,0,1650,1,1000000,3,1,4
4191,4191,1,8,4,0,1800,1,1400000,2,11,8
4192,4192,0,1,0,1,1200,1,550000,5,6,5
4193,4193,0,2,0,1,1650,1,725000,4,1,7
4194,4194,0,3,1,0,1400,1,725000,4,5,12
4195,4195,0,4,1,0,1200,1,725000,4,1,5
4196,4196,0,5,1,0,1200,1,1000000,3,5,10
4197,4197,0,6,1,0,2000,1,1000000,3,3,4
4198,4198,0,7,1,0,2000,1,8000000,11,2,5
4199,4199,0,8,1,0,1200,1,1400000,2,2,11
4200,4200,0,9,0,1,1650,1,1000000,3,13,8
4201,4201,0,10,1,0,1400,1,1400000,2,2,11
4202,4202,1,1,5,0,1650,1,550000,5,6,7
4203,4203,1,2,5,0,1650,1,725000,4,1,2
4204,4204,1,3,5,0,1000,1,1000000,3,2,5
4205,4205,1,4,5,0,1200,1,725000,4,1,10
4206,4206,1,5,5,0,2200,1,725000,4,12,2
4207,4207,1,6,5,0,1650,1,725000,4,11,10
4208,4208,1,7,5,0,1650,1,1000000,3,2,9
4209,4209,1,8,5,0,1200,1,1000000,3,3,1
4210,4210,0,1,3,0,1600,1,550000,5,2,7
4211,4211,0,2,3,0,1200,1,550000,5,4,7
4212,4212,0,3,3,0,1600,1,725000,4,11,8
4213,4213,0,4,3,0,1200,1,725000,4,12,1
4214,4214,0,5,3,0,1400,1,725000,4,12,1
4215,4215,0,6,3,0,1600,1,1000000,3,4,5
4216,4216,0,7,3,0,1200,1,1000000,3,11,3
4217,4217,0,8,3,0,1400,1,2000000,13,9,6
4218,4218,0,9,3,0,1400,1,1000000,3,3,14
4219,4219,0,10,3,0,1800,1,1400000,2,11,2
4220,4220,1,1,0,0,1000,1,550000,5,5,2
4221,4221,1,2,0,0,1200,1,725000,4,12,11
4222,4222,1,3,0,0,1000,1,725000,4,3,2
